Frame,ID,Type,X,Y,Team
54,27,referee,1789,995,-1
54,22,referee,981,657,-1
54,32,referee,940,413,-1
54,1,ball,641,542,-1
55,30,player,683,543,2
55,27,referee,1791,992,-1
55,22,referee,981,657,-1
55,32,referee,940,412,-1
55,1,ball,661,545,-1
56,30,player,681,543,2
56,27,referee,1792,990,-1
56,22,referee,981,659,-1
56,32,referee,939,412,-1
56,1,ball,681,549,-1
57,39,player,691,537,2
57,27,referee,1791,992,-1
57,22,referee,982,660,-1
57,32,referee,938,412,-1
57,1,ball,701,552,-1
58,39,player,690,531,2
58,27,referee,1792,998,-1
58,22,referee,985,661,-1
58,1,ball,721,556,-1
59,13,player,759,607,2
59,27,referee,1792,997,-1
59,22,referee,986,661,-1
59,1,ball,741,560,-1
60,13,player,752,608,2
60,22,referee,986,661,-1
60,27,referee,1790,988,-1
60,1,ball,762,563,-1
61,14,player,829,543,2
61,22,referee,987,661,-1
61,27,referee,1790,976,-1
61,1,ball,782,567,-1
62,14,player,828,543,2
62,22,referee,988,662,-1
62,27,referee,1789,973,-1
62,1,ball,802,571,-1
63,14,player,827,543,2
63,22,referee,989,662,-1
63,27,referee,1791,958,-1
63,1,ball,822,574,-1
64,14,player,827,542,2
64,22,referee,990,663,-1
64,27,referee,1791,968,-1
64,1,ball,842,578,-1
65,3,player,901,602,2
65,22,referee,990,663,-1
65,27,referee,1791,973,-1
65,1,ball,863,582,-1
66,3,player,903,601,2
66,22,referee,991,663,-1
66,1,ball,883,585,-1
67,3,player,904,602,2
67,22,referee,992,664,-1
67,27,referee,1790,1020,-1
67,1,ball,903,589,-1
68,3,player,907,602,2
68,27,referee,1786,1022,-1
68,22,referee,993,666,-1
68,44,referee,934,404,-1
68,1,ball,923,593,-1
69,37,player,1003,610,2
69,27,referee,1785,1019,-1
69,22,referee,996,667,-1
69,44,referee,934,403,-1
69,1,ball,943,596,-1
70,37,player,1007,608,2
70,22,referee,998,667,-1
70,27,referee,1784,1011,-1
70,44,referee,934,403,-1
70,1,ball,963,600,-1
71,37,player,1012,607,2
71,22,referee,998,669,-1
71,27,referee,1784,1016,-1
71,44,referee,933,403,-1
